"GENE","magma_p","magma_z","n_top_pathways","best_pathway_p","pathway_rank","pathways","gwas_min_p","gwas_rank","magma_rank","hit_gwas","hit_magma","hit_pathway","support_layers","score"
"SORBI_3009G233200",2.008e-10,6.4584,1,1.97902776496547e-13,20,"SUCSYN-PWY",2.008e-10,89,89,TRUE,TRUE,TRUE,3,6.43368918045411
"SORBI_3009G230800",1.942e-13,6.7868,0,NA,NA,NA,1.942e-13,21,21,TRUE,TRUE,FALSE,2,6.41767579299874
"SORBI_3009G239301",1.958e-08,6.0894,5,1.00322616347272e-18,10,"PWY-5921; PWY-7185; PWY-7176; PWY-5687; GLUTAMINDEG-PWY",1.958e-08,171,171,TRUE,TRUE,TRUE,3,6.39598227670764
"SORBI_3009G228900",2.9299e-13,6.2608,0,NA,NA,NA,2.9299e-13,22,22,TRUE,TRUE,FALSE,2,6.37726902082217
"SORBI_3004G342100",0.0035843,3.3056,1,5.95944405557204e-35,1,"PWY-3781",0.0035843,1163,1163,FALSE,FALSE,TRUE,1,6.35343437829168
"SORBI_3009G229000",5.2802e-13,6.1742,0,NA,NA,NA,5.2802e-13,24,24,TRUE,TRUE,FALSE,2,6.30169189904337
"SORBI_3009G229700",5.4533e-13,5.6266,0,NA,NA,NA,5.4533e-13,25,25,TRUE,TRUE,FALSE,2,6.2662343651225
"SORBI_3009G210800",0.0046105,2.7435,1,5.95944405557204e-35,1,"PWY-3781",0.0046105,1295,1295,FALSE,FALSE,TRUE,1,6.26005427091403
"SORBI_3009G226400",6.3951e-13,7.768,0,NA,NA,NA,6.3951e-13,26,26,TRUE,TRUE,FALSE,2,6.23216768652494
"SORBI_3009G221500",2.4525e-08,5.8585,3,3.18991115904385e-17,14,"PWY-7039; TRIGLSYN-PWY; PWYIO2-7",2.4525e-08,176,176,TRUE,TRUE,TRUE,3,6.22071118805213
"SORBI_3009G226200",8.5177e-13,7.0897,0,NA,NA,NA,8.5177e-13,27,27,TRUE,TRUE,FALSE,2,6.1993868541486
"SORBI_3009G226700",8.9766e-13,6.8864,0,NA,NA,NA,8.9766e-13,28,28,TRUE,TRUE,FALSE,2,6.16779831978214
"SORBI_3009G227600",9.138e-13,5.2186,0,NA,NA,NA,9.138e-13,29,29,TRUE,TRUE,FALSE,2,6.13731838666867
"SORBI_3002G390200",0.0066112,2.0826,1,5.95944405557204e-35,1,"PWY-3781",0.0066112,1516,1516,FALSE,FALSE,TRUE,1,6.12319540515651
"SORBI_3006G149500",0.0079852,2.3394,1,5.95944405557204e-35,1,"PWY-3781",0.0079852,1627,1627,FALSE,FALSE,TRUE,1,6.06181870187486
"SORBI_3009G226800",1.056e-12,7.3031,0,NA,NA,NA,1.056e-12,32,32,TRUE,TRUE,FALSE,2,6.05181442582677
"SORBI_3009G224100",2.0003e-08,5.1023,1,3.3363415581756e-15,17,"PWY-5968",2.0003e-08,172,172,TRUE,TRUE,TRUE,3,6.03873043813484
"SORBI_3009G229500",1.0881e-12,6.7836,0,NA,NA,NA,1.0881e-12,33,33,TRUE,TRUE,FALSE,2,6.0250865027108
"SORBI_3006G085900",0.0090608,1.8018,1,5.95944405557204e-35,1,"PWY-3781",0.0090608,1748,1748,FALSE,FALSE,TRUE,1,5.99951095115181
"SORBI_3009G229200",1.1906e-12,7.5883,0,NA,NA,NA,1.1906e-12,34,34,TRUE,TRUE,FALSE,2,5.99915654838207
